Buổi,Cảm xúc,Độ tuổi,Số lượng người,Thời tiết,Phong cách ẩm thực,Loại hình quán ăn,Chế độ ăn,Đặc Biệt,Độ phổ biến,Loại đồ ăn,,,,,
Chiều,Bình thường,10,3,Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,bestseller,Món Tráng miệng,,,,,
Chiều,Buồn,14,3,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Chiều,Vui,23,5,Lạnh,miền nam,Nhà hàng bình dân,ăn chay,wifi miễn phí,đặc sản,đồ ăn vặt,,,,,
Tối,Buồn,13,2,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Sáng,Buồn,36,4,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Sáng,Khó chịu,39,5,Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,đặc sản,Món Tráng miệng,,,,,
Chiều,Buồn,12,5,Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Tối,Buồn,14,3,Quá Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,20,2,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,đặc sản,Món cho trẻ em,,,,,
Trưa,Vui,21,5,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Đêm,Bình thường,30,1,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bestseller,Món lạnh,,,,,
Tối,Vui,9,4,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,bestseller,Món lạnh,,,,,
Tối,Khó chịu,17,3,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,bình thường,đồ ăn vặt,,,,,
Tối,Bình thường,24,2,Hơi lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Tối,Vui,26,2,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bình thường,Món nước,,,,,
Chiều,Bình thường,9,3,Lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Đêm,Buồn,23,4,Hơi lạnh,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Sáng,Vui,22,4,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Trưa,Vui,29,4,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,đặc sản,Món Tráng miệng,,,,,
Tối,Bình thường,33,1,Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,hot trend,Món cho trẻ em,,,,,
Trưa,Vui,24,2,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Đêm,Khó chịu,26,4,Qúa lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Chiều,Khó chịu,36,1,Hơi lạnh,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bình thường,đồ ăn vặt,,,,,
Sáng,Buồn,36,1,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Đêm,Khó chịu,35,2,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,hot trend,đồ ăn vặt,,,,,
Đêm,Buồn,38,5,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Chiều,Vui,38,1,Nóng,miền nam,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,hot trend,Món nước,,,,,
Đêm,Khó chịu,12,3,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Trưa,Bình thường,8,3,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Trưa,Vui,25,3,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,hot trend,Món nước,,,,,
Đêm,Bình thường,36,2,Lạnh,hàn quốc,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Đêm,Vui,40,5,Quá Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món Tráng miệng,,,,,
Tối,Bình thường,27,3,Mát,miền nam,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,bình thường,Món nước,,,,,
Sáng,Bình thường,29,4,Mát,Trung quốc,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,hot trend,Món lạnh,,,,,
Đêm,Bình thường,32,5,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Tối,Khó chịu,24,3,Mát,Trung quốc,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bình thường,Món Tráng miệng,,,,,
Trưa,Buồn,18,5,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bestseller,Món Tráng miệng,,,,,
Trưa,Bình thường,37,4,Mát,Trung quốc,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Sáng,Vui,29,2,Nóng,miền nam,Quán Vỉa Hè,ăn chay,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Chiều,Bình thường,35,2,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Chiều,Khó chịu,27,5,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Chiều,Vui,33,1,Quá Nóng,miền nam,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,bestseller,đồ ăn vặt,,,,,
Trưa,Bình thường,11,5,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,đặc sản,Món nước,,,,,
Trưa,Vui,23,1,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,Món lạnh,,,,,
Chiều,Bình thường,32,2,Hơi lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Tối,Khó chịu,16,1,Quá Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Trưa,Buồn,31,5,Hơi Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,Món nước,,,,,
Sáng,Khó chịu,21,1,Lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bestseller,Món nước,,,,,
Sáng,Vui,13,5,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,hot trend,Món cho trẻ em,,,,,
Đêm,Khó chịu,24,4,Qúa lạnh,hàn quốc,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,hot trend,Món nước,,,,,
Chiều,Buồn,37,3,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Sáng,Buồn,26,5,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,bestseller,Món lạnh,,,,,
Trưa,Khó chịu,24,3,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,đặc sản,Món lạnh,,,,,
Tối,Vui,36,5,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,wifi miễn phí,bestseller,Món nước,,,,,
Chiều,Khó chịu,9,5,Qúa lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,Món cho trẻ em,,,,,
Sáng,Khó chịu,12,4,Nóng,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Trưa,Khó chịu,24,4,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Trưa,Buồn,11,5,Lạnh,Việt nam,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,đặc sản,Món cho trẻ em,,,,,
Trưa,Khó chịu,20,3,Qúa lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Trưa,Bình thường,13,4,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bestseller,Món nước,,,,,
Đêm,Buồn,12,1,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Sáng,Buồn,22,1,Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Đêm,Buồn,39,1,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,đặc sản,đồ ăn vặt,,,,,
Sáng,Bình thường,31,3,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Chiều,Khó chịu,27,3,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Sáng,Khó chịu,26,2,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,đặc sản,Món Tráng miệng,,,,,
Chiều,Bình thường,15,1,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Sáng,Khó chịu,36,4,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Sáng,Buồn,28,2,Lạnh,miền nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,đặc sản,Món nước,,,,,
Sáng,Vui,7,1,Hơi lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,hot trend,Món Tráng miệng,,,,,
Sáng,Vui,16,3,Nóng,miền nam,Quán Vỉa Hè,ăn chay,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Đêm,Khó chịu,35,2,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Có giao hàng free,đặc sản,đồ ăn vặt,,,,,
Trưa,Khó chịu,39,1,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Sáng,Vui,35,3,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bình thường,đồ ăn vặt,,,,,
Trưa,Buồn,14,2,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bestseller,Món lạnh,,,,,
Đêm,Buồn,36,1,Mát,Trung quốc,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bình thường,Món nước,,,,,
Tối,Khó chịu,34,4,Mát,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Đêm,Vui,15,3,Mát,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bình thường,đồ ăn vặt,,,,,
Tối,Bình thường,22,3,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bestseller,Món lạnh,,,,,
Đêm,Khó chịu,8,4,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bestseller,Món nước,,,,,
Sáng,Buồn,16,2,Quá Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,Đang giảm giá,hot trend,Món cho trẻ em,,,,,
Tối,Vui,21,5,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,hot trend,Món Tráng miệng,,,,,
Đêm,Buồn,11,3,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,hot trend,Món nước,,,,,
Đêm,Buồn,19,3,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Sáng,Bình thường,40,4,Hơi Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Sáng,Vui,6,1,Quá Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bình thường,Món cho trẻ em,,,,,
Chiều,Bình thường,9,5,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,Món cho trẻ em,,,,,
Chiều,Bình thường,38,4,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,bình thường,đồ ăn vặt,,,,,
Trưa,Bình thường,31,2,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Sáng,Vui,5,4,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,bestseller,đồ ăn vặt,,,,,
Trưa,Khó chịu,16,3,Quá Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,đặc sản,Món nước,,,,,
Chiều,Bình thường,8,1,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,hot trend,Món lạnh,,,,,
Đêm,Khó chịu,33,5,Lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Đêm,Bình thường,25,1,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Trưa,Vui,13,1,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bình thường,Món nước,,,,,
Chiều,Khó chịu,14,2,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,bestseller,Món nước,,,,,
Chiều,Vui,13,4,Lạnh,Việt nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Trưa,Bình thường,29,4,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,bestseller,Món nước,,,,,
Đêm,Buồn,14,4,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,Món nước,,,,,
Sáng,Buồn,6,5,Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bình thường,Món cho trẻ em,,,,,
Tối,Buồn,21,5,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,hot trend,đồ ăn vặt,,,,,
Sáng,Khó chịu,7,2,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Sáng,Buồn,6,4,Mát,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,đặc sản,Món nước,,,,,
Chiều,Khó chịu,33,4,Mát,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Trưa,Vui,20,2,Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,đặc sản,Món nước,,,,,
Sáng,Bình thường,38,4,Hơi lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bình thường,đồ ăn vặt,,,,,
Đêm,Khó chịu,37,5,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Tối,Bình thường,16,2,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,Món Tráng miệng,,,,,
Đêm,Khó chịu,21,4,Mát,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Trưa,Buồn,25,5,Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Đêm,Bình thường,25,4,Qúa lạnh,Việt nam,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bestseller,Món nước,,,,,
Đêm,Bình thường,21,1,Qúa lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Sáng,Khó chịu,17,2,Hơi Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,đặc sản,Món nước,,,,,
Sáng,Vui,15,2,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bestseller,Món cho trẻ em,,,,,
Đêm,Buồn,20,1,Hơi lạnh,hàn quốc,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,đặc sản,đồ ăn vặt,,,,,
Tối,Khó chịu,30,3,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Tối,Khó chịu,15,4,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,Món cho trẻ em,,,,,
Trưa,Khó chịu,23,2,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Đêm,Vui,21,1,Quá Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bình thường,Món Tráng miệng,,,,,
Đêm,Bình thường,37,3,Lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,đặc sản,Món nước,,,,,
Trưa,Buồn,15,3,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Đêm,Bình thường,13,1,Lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,hot trend,Món nước,,,,,
Chiều,Buồn,39,2,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,hot trend,Món Tráng miệng,,,,,
Sáng,Vui,12,4,Hơi lạnh,miền nam,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Trưa,Buồn,8,1,Nóng,hàn quốc,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món nước,,,,,
Chiều,Bình thường,24,3,Hơi lạnh,miền nam,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bestseller,Món lạnh,,,,,
Tối,Bình thường,32,4,Hơi lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,hot trend,Món lạnh,,,,,
Tối,Buồn,17,3,Mát,miền nam,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,Món lạnh,,,,,
Tối,Vui,33,2,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,bestseller,Món Tráng miệng,,,,,
Chiều,Vui,11,3,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,hot trend,Món lạnh,,,,,
Trưa,Bình thường,34,3,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Tối,Khó chịu,8,4,Quá Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Trưa,Bình thường,39,3,Mát,miền nam,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món Tráng miệng,,,,,
Đêm,Vui,18,3,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,Đang giảm giá,bình thường,đồ ăn vặt,,,,,
Sáng,Bình thường,22,5,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món lạnh,,,,,
